ID,Total_reads,Total_align_rate (%),Reads_aligned
SRR1554537,55133946,97.75,53893432.22
SRR2071348,125129957,89.21,111628434.6
SRR1554538,68026190,98.14,66760902.87
SRR2071349,231868929,91.66,212531060.3
SRR1554541,69278357,98.01,67899717.7
SRR2071352,98565417,90.26,88965145.38
SRR1554566,53161501,97.68,51928154.18
SRR2071377,66177040,92.9,61478470.16
SRR1554567,61922935,98.07,60727822.35
SRR2071378,77670609,92.8,72078325.15
SRR1554568,48184702,97.94,47192097.14
SRR2071379,119229759,90.27,107628703.4
SRR1554535,38063721,98.3,37416637.74
SRR2071346,66455655,78.78,52353765.01
SRR1554536,21450348,99.03,21242279.62
SRR2071347,37025651,91.04,33708152.67
SRR1554539,33742728,98.32,33175850.17
SRR2071350,49834056,82.32,41023394.9
SRR1554556,49480779,98.42,48698982.69
SRR2071367,64284397,89.16,57315968.37
SRR1554561,39272751,97.96,38471586.88
SRR2071372,58125226,82.6,48011436.68
SRR1554534,28181772,98.02,27623772.91
SRR2071345,41133326,82.9,34099527.25